metabolomics_id,hmmf_panel,compound,value
LD_146_03,PFBBr,indole-3-acetate,0.00843
LD_146_03,PFBBr,indole-3-carboxaldehyde,0.00843
LD_146_03,PFBBr,indole-3-propionate,0.00843
LD_146_03,PFBBr,isobutyrate,9.52899
LD_146_03,PFBBr,isoleucine,0.45565
LD_146_03,PFBBr,isovaleric acid,15.59057
LD_146_03,PFBBr,itaconate,0.00843
LD_146_03,PFBBr,leucine,0.85678
LD_146_03,PFBBr,lysine,0.18568
LD_146_03,PFBBr,methionine,0.51364
LD_146_03,PFBBr,palmitate,37.13911
LD_146_03,PFBBr,p-cresol,9.12848
LD_146_03,PFBBr,phenol,3.87581
LD_146_03,PFBBr,phenylacetate,1.11941
LD_146_03,PFBBr,phenylalanine,7.28857
LD_146_03,PFBBr,proline,55.28171
LD_146_03,PFBBr,propionate,21.74533
LD_146_03,PFBBr,serine,0.00885
LD_146_03,PFBBr,succinate,0.71422
LD_146_03,PFBBr,synephrine,0.00843
LD_146_03,PFBBr,threonine,0.03777
LD_146_03,PFBBr,toluate,0.00843
LD_146_03,PFBBr,trans-indole-3-acrylate,0.00843
LD_146_03,PFBBr,tryptamine,0.01113
LD_146_03,PFBBr,tryptophan,0.02734
LD_146_03,PFBBr,tyramine,8.54403
LD_146_03,PFBBr,tyrosine,0.00843
LD_146_03,PFBBr,valerate,2.65517
LD_146_03,PFBBr,valine,19.03426
LD_146_03,PFBBr,vanillin,0.00843
LD_171_01,PFBBr,2-methylbutyrate,0.01533
LD_171_01,PFBBr,3-aminoisobutyrate,0.00691
LD_171_01,PFBBr,4-methylvalerate,0.02036
LD_171_01,PFBBr,5-aminovalerate,0.00691
LD_171_01,PFBBr,acetate,26.26605
LD_171_01,PFBBr,alanine,5.9478
LD_171_01,PFBBr,aspartate,0.26516
LD_171_01,PFBBr,benzoate,0.59919
LD_171_01,PFBBr,butyrate,0.17719
LD_171_01,PFBBr,catechol,0.00691
LD_171_01,PFBBr,crotonate,0.00691
LD_171_01,PFBBr,cysteine,0.68595
LD_171_01,PFBBr,desaminotyrosine,0.00691
LD_171_01,PFBBr,dopamine,0.00691
LD_171_01,PFBBr,glutamate,0.47494
LD_171_01,PFBBr,glycine,36.04094
LD_171_01,PFBBr,hexanoate,0.13275
LD_171_01,PFBBr,histamine,0.00691
LD_171_01,PFBBr,hydrocinnamate,0.00691
LD_171_01,PFBBr,indole-3-acetate,0.00691
LD_171_01,PFBBr,indole-3-carboxaldehyde,0.00691
LD_171_01,PFBBr,indole-3-propionate,0.00691
LD_171_01,PFBBr,isobutyrate,0.03523
LD_171_01,PFBBr,isoleucine,0.93772
LD_171_01,PFBBr,isovaleric acid,0.01924
LD_171_01,PFBBr,itaconate,0.00691
LD_171_01,PFBBr,leucine,1.10441
LD_171_01,PFBBr,lysine,1.18387
LD_171_01,PFBBr,methionine,0.40202
LD_171_01,PFBBr,palmitate,7.74502
LD_171_01,PFBBr,p-cresol,0.00691
LD_171_01,PFBBr,phenol,0.00959
LD_171_01,PFBBr,phenylacetate,0.00691
LD_171_01,PFBBr,phenylalanine,3.16005
LD_171_01,PFBBr,proline,5.10313
LD_171_01,PFBBr,propionate,0.13958
LD_171_01,PFBBr,serine,0.01476
LD_171_01,PFBBr,succinate,0.34224
LD_171_01,PFBBr,synephrine,0.00691
LD_171_01,PFBBr,threonine,0.0471
LD_171_01,PFBBr,toluate,0.00691
LD_171_01,PFBBr,trans-indole-3-acrylate,0.00691
LD_171_01,PFBBr,tryptamine,0.00691
LD_171_01,PFBBr,tryptophan,0.03998
LD_171_01,PFBBr,tyramine,0.05228
LD_171_01,PFBBr,tyrosine,0.00691
LD_171_01,PFBBr,valerate,0.05066
LD_171_01,PFBBr,valine,28.78729
LD_171_01,PFBBr,vanillin,0.00691
LD_191_04,PFBBr,2-methylbutyrate,0.72073
LD_191_04,PFBBr,3-aminoisobutyrate,0.01749
LD_191_04,PFBBr,4-methylvalerate,0.01749
LD_191_04,PFBBr,5-aminovalerate,14.93993
LD_191_04,PFBBr,acetate,5.54697
LD_191_04,PFBBr,alanine,15.71316
LD_191_04,PFBBr,aspartate,0.1008
LD_191_04,PFBBr,benzoate,0.70433
LD_191_04,PFBBr,butyrate,2.80787
LD_191_04,PFBBr,catechol,0.02081
LD_191_04,PFBBr,crotonate,0.01749
LD_191_04,PFBBr,cysteine,0.47125
LD_191_04,PFBBr,desaminotyrosine,0.32634
LD_191_04,PFBBr,dopamine,0.01749
LD_191_04,PFBBr,glutamate,1.31495
LD_191_04,PFBBr,glycine,20.24609
LD_191_04,PFBBr,hexanoate,0.09272
LD_191_04,PFBBr,histamine,0.01749
LD_191_04,PFBBr,hydrocinnamate,0.02228
LD_191_04,PFBBr,indole-3-acetate,0.01749
LD_191_04,PFBBr,indole-3-carboxaldehyde,0.01749
LD_191_04,PFBBr,indole-3-propionate,0.01749
LD_191_04,PFBBr,isobutyrate,0.63252
LD_191_04,PFBBr,isoleucine,24.47954
LD_191_04,PFBBr,isovaleric acid,1.22237
LD_191_04,PFBBr,itaconate,0.01749
LD_191_04,PFBBr,leucine,31.21266
LD_191_04,PFBBr,lysine,0.16734
LD_191_04,PFBBr,methionine,2.09804
LD_191_04,PFBBr,palmitate,17.15665
LD_191_04,PFBBr,p-cresol,0.33309
LD_191_04,PFBBr,phenol,0.01749
LD_191_04,PFBBr,phenylacetate,0.24345
LD_191_04,PFBBr,phenylalanine,12.38373
LD_191_04,PFBBr,proline,13.47939
LD_191_04,PFBBr,propionate,2.74317
LD_191_04,PFBBr,serine,0.01749
LD_191_04,PFBBr,succinate,4.2792
LD_191_04,PFBBr,synephrine,0.01749
LD_191_04,PFBBr,threonine,0.01749
LD_191_04,PFBBr,toluate,0.01749
LD_191_04,PFBBr,trans-indole-3-acrylate,0.01749
LD_191_04,PFBBr,tryptamine,0.01749
LD_191_04,PFBBr,tryptophan,0.01749
LD_191_04,PFBBr,tyramine,9.5881
LD_191_04,PFBBr,tyrosine,0.01749
LD_191_04,PFBBr,valerate,0.56789
LD_191_04,PFBBr,valine,37.03836
LD_191_04,PFBBr,vanillin,0.01749
LD_193_02,PFBBr,2-methylbutyrate,1.97494
LD_193_02,PFBBr,3-aminoisobutyrate,0.04227
LD_193_02,PFBBr,4-methylvalerate,0.02013
LD_193_02,PFBBr,5-aminovalerate,1.44552
LD_193_02,PFBBr,acetate,3.86024
LD_193_02,PFBBr,alanine,11.37514
LD_193_02,PFBBr,aspartate,0.52634
LD_193_02,PFBBr,benzoate,0.65725
LD_193_02,PFBBr,butyrate,4.70248
LD_193_02,PFBBr,catechol,0.02013
LD_193_02,PFBBr,crotonate,0.02013
LD_193_02,PFBBr,cysteine,0.32194
LD_193_02,PFBBr,desaminotyrosine,0.04543
LD_193_02,PFBBr,dopamine,0.02013
LD_193_02,PFBBr,glutamate,0.57069
LD_193_02,PFBBr,glycine,15.03561
LD_193_02,PFBBr,hexanoate,0.07084
LD_193_02,PFBBr,histamine,0.02013
LD_193_02,PFBBr,hydrocinnamate,0.08515
LD_193_02,PFBBr,indole-3-acetate,0.02013
LD_193_02,PFBBr,indole-3-carboxaldehyde,0.02013
LD_193_02,PFBBr,indole-3-propionate,0.02013
LD_193_02,PFBBr,isobutyrate,1.92153
LD_193_02,PFBBr,isoleucine,21.07746
LD_193_02,PFBBr,isovaleric acid,3.20172
LD_193_02,PFBBr,itaconate,0.02013
LD_193_02,PFBBr,leucine,26.06413
LD_193_02,PFBBr,lysine,1.18908
LD_193_02,PFBBr,methionine,0.80027
LD_193_02,PFBBr,palmitate,17.10751
LD_193_02,PFBBr,p-cresol,0.63073
LD_193_02,PFBBr,phenol,0.06329
LD_193_02,PFBBr,phenylacetate,0.42774
LD_193_02,PFBBr,phenylalanine,7.47539
LD_193_02,PFBBr,proline,8.08094
LD_193_02,PFBBr,propionate,4.68329
LD_193_02,PFBBr,serine,0.02013
LD_193_02,PFBBr,succinate,1.51553
LD_193_02,PFBBr,synephrine,0.02013
LD_193_02,PFBBr,threonine,0.0378
LD_193_02,PFBBr,toluate,0.02013
LD_193_02,PFBBr,trans-indole-3-acrylate,0.02013
LD_193_02,PFBBr,tryptamine,0.02013
LD_193_02,PFBBr,tryptophan,0.02013
LD_193_02,PFBBr,tyramine,2.71329
LD_193_02,PFBBr,tyrosine,0.02013
LD_193_02,PFBBr,valerate,3.74403
LD_193_02,PFBBr,valine,34.36816
LD_193_02,PFBBr,vanillin,0.02013
LD_206_05,PFBBr,2-methylbutyrate,3.60013
LD_206_05,PFBBr,3-aminoisobutyrate,0.03473
LD_206_05,PFBBr,4-methylvalerate,0.19303
LD_206_05,PFBBr,5-aminovalerate,0.10242
LD_206_05,PFBBr,acetate,13.24154
LD_206_05,PFBBr,alanine,1.78343
LD_206_05,PFBBr,aspartate,0.03473
LD_206_05,PFBBr,benzoate,1.00861
LD_206_05,PFBBr,butyrate,16.59026
LD_206_05,PFBBr,catechol,0.03473
LD_206_05,PFBBr,crotonate,0.03473
LD_206_05,PFBBr,cysteine,0.05574
LD_206_05,PFBBr,desaminotyrosine,0.03473
