metabolomics_id,hmmf_panel,compound,value
LD_095_02,PFBBr,propionate,0.02025
LD_095_02,PFBBr,serine,0.01152
LD_095_02,PFBBr,succinate,0.05654
LD_095_02,PFBBr,synephrine,0.01152
LD_095_02,PFBBr,threonine,0.02221
LD_095_02,PFBBr,toluate,0.01152
LD_095_02,PFBBr,trans-indole-3-acrylate,0.01152
LD_095_02,PFBBr,tryptamine,0.01152
LD_095_02,PFBBr,tryptophan,0.05079
LD_095_02,PFBBr,tyramine,4.41983
LD_095_02,PFBBr,tyrosine,0.01152
LD_095_02,PFBBr,valerate,0.01152
LD_095_02,PFBBr,valine,12.15895
LD_095_02,PFBBr,vanillin,0.01152
LD_102_03,PFBBr,2-methylbutyrate,0.01321
LD_102_03,PFBBr,3-aminoisobutyrate,0.01004
LD_102_03,PFBBr,4-methylvalerate,0.01004
LD_102_03,PFBBr,5-aminovalerate,0.12385
LD_102_03,PFBBr,acetate,1.28338
LD_102_03,PFBBr,alanine,15.02745
LD_102_03,PFBBr,aspartate,0.41224
LD_102_03,PFBBr,benzoate,0.52468
LD_102_03,PFBBr,butyrate,0.08444
LD_102_03,PFBBr,catechol,0.01004
LD_102_03,PFBBr,crotonate,0.01004
LD_102_03,PFBBr,cysteine,1.7225
LD_102_03,PFBBr,desaminotyrosine,0.01004
LD_102_03,PFBBr,dopamine,0.01004
LD_102_03,PFBBr,glutamate,0.81651
LD_102_03,PFBBr,glycine,2.84459
LD_102_03,PFBBr,hexanoate,0.17009
LD_102_03,PFBBr,histamine,0.01004
LD_102_03,PFBBr,hydrocinnamate,0.01004
LD_102_03,PFBBr,indole-3-acetate,0.01004
LD_102_03,PFBBr,indole-3-carboxaldehyde,0.01004
LD_102_03,PFBBr,indole-3-propionate,0.01004
LD_102_03,PFBBr,isobutyrate,0.0237
LD_102_03,PFBBr,isoleucine,0.9223
LD_102_03,PFBBr,isovaleric acid,0.01039
LD_102_03,PFBBr,itaconate,0.01004
LD_102_03,PFBBr,leucine,1.60915
LD_102_03,PFBBr,lysine,8.36099
LD_102_03,PFBBr,methionine,0.52381
LD_102_03,PFBBr,palmitate,6.39709
LD_102_03,PFBBr,p-cresol,0.01004
LD_102_03,PFBBr,phenol,0.01192
LD_102_03,PFBBr,phenylacetate,0.01004
LD_102_03,PFBBr,phenylalanine,8.99817
LD_102_03,PFBBr,proline,1.3445
LD_102_03,PFBBr,propionate,0.07482
LD_102_03,PFBBr,serine,0.01004
LD_102_03,PFBBr,succinate,0.34959
LD_102_03,PFBBr,synephrine,0.01004
LD_102_03,PFBBr,threonine,0.10095
LD_102_03,PFBBr,toluate,0.01004
LD_102_03,PFBBr,trans-indole-3-acrylate,0.01004
LD_102_03,PFBBr,tryptamine,0.01073
LD_102_03,PFBBr,tryptophan,0.23763
LD_102_03,PFBBr,tyramine,9.03923
LD_102_03,PFBBr,tyrosine,0.01004
LD_102_03,PFBBr,valerate,0.05508
LD_102_03,PFBBr,valine,4.48092
LD_102_03,PFBBr,vanillin,0.01004
LD_110_02,PFBBr,2-methylbutyrate,0.02294
LD_110_02,PFBBr,3-aminoisobutyrate,0.0076
LD_110_02,PFBBr,4-methylvalerate,0.0076
LD_110_02,PFBBr,5-aminovalerate,0.17511
LD_110_02,PFBBr,acetate,0.37131
LD_110_02,PFBBr,alanine,29.81167
LD_110_02,PFBBr,aspartate,1.24961
LD_110_02,PFBBr,benzoate,0.57397
LD_110_02,PFBBr,butyrate,0.10288
LD_110_02,PFBBr,catechol,0.0076
LD_110_02,PFBBr,crotonate,0.0076
LD_110_02,PFBBr,cysteine,2.07283
LD_110_02,PFBBr,desaminotyrosine,0.0076
LD_110_02,PFBBr,dopamine,0.0076
LD_110_02,PFBBr,glutamate,0.6688
